title,resume,years_of_experience,skills,location,salary_expectation,rating
Full stack Python/React,https://www.work.ua/resumes/10106402/,7,"Python, Django, FastAPI, Docker, Django Rest Framework, JavaScript, React, Redux, Redux Toolkit, TypeScript, MySQL, Redis, PostgreSQL, SQLAlchemy",Lviv,developer,2
"Python (Django/Flask) Web Developer, 80 001",https://www.work.ua/resumes/4592169/,7,"Python, Django, Linux, PostgreSQL, Flask, Redis, Celery, SQLAlchemy, AWS, Програмування, JQuery, AJAX, HTML, CSS, JavaScript, Git, SQL, GitHub, Bootstrap, Docker, Користувач ОС Linux, MySQL, Знання принципів ООП",Lviv,грн,2
"Python-програміст, 22 000",https://www.work.ua/resumes/6914891/,7,"Python, Django, SQL, HTML, GitHub, MySQL, Git, Знання принципів ООП, Django Rest Framework, Docker, JavaScript, REST, Уважність, Docker Compose, React, Angular, PyCharm",Lviv,грн,1
"Викладач інформатики, Trainee/Intern Python",https://www.work.ua/resumes/8974441/,7,"MS Office, Користувач ПК, Python, Windows, Django, HTML, CSS, Google Docs, MySQL, Instagram, Facebook, MongoDB, Java, Telegram, Google, MS Excel, Програмування, C#, MS Word, Операційні системи, Пошукові системи, PyQt, Tkinter, Android, Ведення соціальних мереж, Python language, Написання наукових тезисів та статей, Проведення конференцій та рецензування поданих матеріалів, Робота з дітьми/підлітками, HTML/CSS/JS/JAVA/C# та БД",Lviv,developer,1
"QA Manual, Automation Engineer",https://www.work.ua/resumes/10524305/,7,"Python, Python Requests, PyTest, Selenium, HTML, CSS, Chrome DevTools, SQL, Knowledge of OOP principles, Understanding of client-server architecture, HTTP, JSON, OSI Model, Git, Користувач ОС Linux, REST API, VMware Workstation, Adobe Photoshop, Adobe Illustrator, DHCP, VMware, MS Office, Facebook Ads Manager, Технічна підтримка користувачів, Налаштування ПЗ, Ремонт ПК, Технічне обслуговування оргтехніки, Відеоспостереження, Монтаж локальних мереж, Налаштування мережевого обладнання, Налаштування ОС, TCP, UDP, Модернізація ПК, Відповідальність, Організованість, UNIX, TeamViewer, TCP/IP, Активність, Аналітичне мислення, Стресостійкість, Водійські права кат. B, Збірка ПК, Встановлення драйверів, Саморозвиток, ActiveCampaign, Комунікабельність, Урегулювання конфліктів",Lviv,(Python),0
Full Stack Ruby on Rails/PHP/Python,https://www.work.ua/resumes/5914968/,7,"Ruby on Rails, PostgreSQL, MySQL, Git, GitFlow, RabbitMQ, Stripe, Користувач LiqPay, MS Azure, AWS, REST API, RSpec, Знання принципів TDD, DDD, PHP, Python, JQuery, Vue.js, React",Lviv,Developer,0
"Software Engineer (Rust, Go,",https://www.work.ua/resumes/9553728/,7,,Lviv,Python),0
Python-програміст,https://www.work.ua/resumes/5477090/,7,"WordPress, MS Word, Python, JavaScript, Binance",Lviv,trainee,0
"Python developer (Junior), 38 000",https://www.work.ua/resumes/8933390/,7,"HTML, CSS, SQL, Windows, Пользователь ПК, Google Analytics, MS Excel, Python, MS Word, Пользователь Internet, Adobe Photoshop, Linux, Git, Операционные системы, MySQL, Selenium, Oracle VM VirtualBox, JavaScript, SQLite, GitHub, JSON, XML, Adobe, Аппаратное обеспечение, SEO, PPC, HTML - редактирование, разметка, внесение изменений, CSS - редактирование, внесение изменений, корректировка, Google AdWords - сертифицированный специалист, Яндекс Директ, Яндекс Метрика, Pandas / NumPy / NLTK / Seaborn / Sklearn",Lviv,грн,0
Системний адміністратор (технічна,https://www.work.ua/resumes/10631679/,7,"Python, Python Requests, PyTest, Selenium, HTML, CSS, Chrome DevTools, SQL, Knowledge of OOP principles, Understanding of client-server architecture, HTTP, JSON, OSI Model, Git, Користувач ОС Linux, REST API, VMware Workstation, Adobe Photoshop, Adobe Illustrator, DHCP, VMware, MS Office, Facebook Ads Manager, Технічна підтримка користувачів, Налаштування ПЗ, Ремонт ПК, Технічне обслуговування оргтехніки, Відеоспостереження, Монтаж локальних мереж, Налаштування мережевого обладнання, Налаштування ОС, TCP, UDP, Модернізація ПК, Відповідальність, Організованість, UNIX, TeamViewer, TCP/IP, Активність, Аналітичне мислення, Стресостійкість, Водійські права кат. B, Збірка ПК, Встановлення драйверів, Саморозвиток, ActiveCampaign, Комунікабельність, Урегулювання конфліктів",Lviv,підтримка),0
